ano,pais,quantidade_litros,valor_usd,quantidade_litros_var,valor_usd_var,valor_medio_litro,regiao,tendencia_quantidade,tendencia_valor
2022,"Alemanha, República Democrática",7630.0,45367.0,0.0,0.0,5.945871559633027,Outros,3.0,3.0
2022,Angola,4068.0,4761.0,0.0,0.0,1.170353982300885,Outros,4.0,4.0
2022,Antígua e Barbuda,419.0,1866.0,0.0,0.0,4.4534606205250595,Outros,6.0,6.0
2022,Argentina,480.0,3232.0,0.0,0.0,6.733333333333333,América Latina,9.0,9.0
2022,Austrália,1424.0,12299.0,0.0,0.0,8.63693820224719,Outros,11.0,11.0
2022,Áustria,6.0,212.0,0.0,0.0,35.333333333333336,Outros,12.0,12.0
2022,Bahamas,1215.0,5799.0,0.0,0.0,4.77283950617284,Outros,13.0,13.0
2022,Bangladesh,7.0,84.0,0.0,0.0,12.0,Outros,14.0,14.0
2022,Barbados,220.0,1145.0,0.0,0.0,5.204545454545454,Outros,15.0,15.0
2022,Barein,979.0,2789.0,0.0,0.0,2.8488253319713994,Outros,16.0,16.0
2022,Bélgica,828.0,6145.0,0.0,0.0,7.421497584541063,Outros,17.0,17.0
2022,Bolívia,32530.0,49011.0,0.0,0.0,1.5066400245926836,Outros,21.0,21.0
2022,Brazil,2504.0,952.0,0.0,0.0,0.3801916932907348,América Latina,23.0,23.0
2022,Bulgária,5.0,31.0,0.0,0.0,6.2,Outros,24.0,24.0
2022,Canadá,1183.0,5784.0,0.0,0.0,4.889264581572274,América do Norte,27.0,27.0
2022,"Cayman, Ilhas",160.0,958.0,0.0,0.0,5.9875,Outros,29.0,29.0
2022,Chile,2094.0,7986.0,0.0,0.0,3.8137535816618913,América Latina,30.0,30.0
2022,China,105395.0,404647.0,0.0,0.0,3.839337729493809,Outros,31.0,31.0
2022,Chipre,1521.0,4458.0,0.0,0.0,2.9309664694280078,Outros,32.0,32.0
2022,"Cocos (Keeling), Ilhas",26.0,60.0,0.0,0.0,2.3076923076923075,Outros,34.0,34.0
2022,Colômbia,8217.0,14068.0,0.0,0.0,1.7120603626627724,Outros,35.0,35.0
2022,"Coreia, Republica Sul",77.0,257.0,0.0,0.0,3.3376623376623376,Outros,38.0,38.0
2022,Croácia,34.0,484.0,0.0,0.0,14.235294117647058,Outros,41.0,41.0
2022,Cuba,16.0,6.0,0.0,0.0,0.375,Outros,42.0,42.0
2022,Curaçao,40673.0,66950.0,0.0,0.0,1.6460551225628794,Outros,43.0,43.0
2022,Dinamarca,2.0,6.0,0.0,0.0,3.0,Outros,44.0,44.0
2022,Dominica,1485.0,2223.0,0.0,0.0,1.496969696969697,Outros,45.0,45.0
2022,Emirados Arabes Unidos,4781.0,85465.0,0.0,0.0,17.87596737084292,Outros,47.0,47.0
2022,Equador,135.0,210.0,0.0,0.0,1.5555555555555556,Outros,48.0,48.0
2022,Estados Unidos,220373.0,447893.0,0.0,0.0,2.0324313777096106,América do Norte,51.0,51.0
2022,Filipinas,375.0,790.0,0.0,0.0,2.1066666666666665,Outros,53.0,53.0
2022,França,5694.0,25008.0,0.0,0.0,4.3919915700737615,Europa,55.0,55.0
2022,Gana,35949.0,49304.0,0.0,0.0,1.371498511780578,Outros,56.0,56.0
2022,Granada,5610.0,7914.0,0.0,0.0,1.4106951871657754,Outros,58.0,58.0
2022,Grécia,920.0,2426.0,0.0,0.0,2.6369565217391306,Outros,59.0,59.0
2022,Guatemala,1283.0,5350.0,0.0,0.0,4.169914263445051,Outros,60.0,60.0
2022,Guiana,2064.0,5823.0,0.0,0.0,2.821220930232558,Outros,61.0,61.0
2022,Guiana Francesa,22.0,18.0,0.0,0.0,0.8181818181818182,Outros,62.0,62.0
2022,Haiti,553503.0,741014.0,0.0,0.0,1.3387714249064595,Outros,65.0,65.0
2022,Hong Kong,9371.0,38218.0,0.0,0.0,4.078326752747839,Outros,67.0,67.0
2022,Ilha de Man,165.0,641.0,0.0,0.0,3.8848484848484848,Outros,69.0,69.0
2022,India,247.0,1021.0,0.0,0.0,4.133603238866397,Outros,71.0,71.0
2022,Irã,47.0,90.0,0.0,0.0,1.9148936170212767,Outros,73.0,73.0
2022,Itália,1129.0,6151.0,0.0,0.0,5.448184233835253,Europa,76.0,76.0
2022,Japão,37324.0,82208.0,0.0,0.0,2.202550637659415,Outros,78.0,78.0
2022,Libéria,9145.0,34815.0,0.0,0.0,3.8069983597594312,Outros,82.0,82.0
2022,Luxemburgo,36.0,802.0,0.0,0.0,22.27777777777778,Outros,83.0,83.0
2022,Malta,3127.0,15587.0,0.0,0.0,4.984649824112568,Outros,87.0,87.0
2022,"Marshall, Ilhas",7240.0,27178.0,0.0,0.0,3.753867403314917,Outros,88.0,88.0
2022,México,6.0,33.0,0.0,0.0,5.5,Outros,91.0,91.0
2022,Moçambique,383.0,1927.0,0.0,0.0,5.031331592689295,Outros,92.0,92.0
2022,Nigéria,32234.0,50283.0,0.0,0.0,1.5599367127877397,Outros,96.0,96.0
2022,Noruega,2711.0,40316.0,0.0,0.0,14.871265215787533,Outros,97.0,97.0
2022,Nova Zelândia,63.0,156.0,0.0,0.0,2.4761904761904763,Outros,99.0,99.0
2022,Omã,194.0,670.0,0.0,0.0,3.4536082474226806,Outros,100.0,100.0
2022,Países Baixos,7034.0,37240.0,0.0,0.0,5.294284901905033,Outros,101.0,101.0
2022,Panamá,11490.0,49392.0,0.0,0.0,4.298694516971279,Outros,103.0,103.0
2022,Paraguai,5076670.0,7156293.0,0.0,0.0,1.4096431322106815,América Latina,104.0,104.0
2022,Portugal,1918.0,7613.0,0.0,0.0,3.9692387904066737,Outros,109.0,109.0
2022,Quênia,1440.0,2080.0,0.0,0.0,1.4444444444444444,Outros,110.0,110.0
2022,Reino Unido,18835.0,138154.0,0.0,0.0,7.334961507831165,Outros,111.0,111.0
2022,Rússia,66046.0,118618.0,0.0,0.0,1.7959906731671864,Outros,113.0,113.0
2022,São Vicente e Granadinas,20.0,51.0,0.0,0.0,2.55,Outros,116.0,116.0
2022,Serra Leoa,8101.0,15182.0,0.0,0.0,1.8740896185656093,Outros,118.0,118.0
2022,Singapura,4322.0,15434.0,0.0,0.0,3.5710319296621935,Outros,119.0,119.0
2022,Suécia,5.0,18.0,0.0,0.0,3.6,Outros,121.0,121.0
2022,Suíça,1584.0,20863.0,0.0,0.0,13.171085858585858,Outros,122.0,122.0
2022,Suriname,1225.0,3360.0,0.0,0.0,2.742857142857143,Outros,123.0,123.0
2022,Tailândia,432.0,1713.0,0.0,0.0,3.9652777777777777,Outros,124.0,124.0
2022,Taiwan (Formosa),25.0,277.0,0.0,0.0,11.08,Outros,125.0,125.0
2022,"Tcheca, República",1305.0,9997.0,0.0,0.0,7.660536398467433,Outros,127.0,127.0
2022,Togo,17317.0,25608.0,0.0,0.0,1.4787780793439973,Outros,128.0,128.0
2022,Turquia,418.0,503.0,0.0,0.0,1.2033492822966507,Outros,132.0,132.0
2022,Uruguai,637117.0,997367.0,0.0,0.0,1.565437745343477,Outros,134.0,134.0
2022,Venezuela,23220.0,32351.0,0.0,0.0,1.393238587424634,Outros,136.0,136.0
2022,Vietnã,130.0,277.0,0.0,0.0,2.1307692307692307,Outros,137.0,137.0
2022,Total,7025983.0,10945282.0,0.0,0.0,1.5578292745655662,Outros,138.0,138.0
2021,Afeganistão,11.0,46.0,0.0,0.0,4.181818181818182,Outros,139.0,139.0
2021,"Alemanha, República Democrática",2698.0,6741.0,-4932.0,-38626.0,2.498517420311342,Outros,141.0,141.0
2021,Antígua e Barbuda,805.0,2268.0,386.0,402.0,2.8173913043478263,Outros,144.0,144.0
2021,Argentina,6.0,13.0,-474.0,-3219.0,2.1666666666666665,América Latina,147.0,147.0
2021,Austrália,705.0,4034.0,-719.0,-8265.0,5.721985815602837,Outros,149.0,149.0
2021,Bahamas,1083.0,4567.0,-132.0,-1232.0,4.216989843028625,Outros,151.0,151.0
2021,Bangladesh,2.0,20.0,-5.0,-64.0,10.0,Outros,152.0,152.0
2021,Barbados,216.0,844.0,-4.0,-301.0,3.9074074074074074,Outros,153.0,153.0
2021,Barein,302.0,894.0,-677.0,-1895.0,2.9602649006622515,Outros,154.0,154.0
2021,Bélgica,483.0,3749.0,-345.0,-2396.0,7.761904761904762,Outros,155.0,155.0
2021,Bolívia,5850.0,8360.0,-26680.0,-40651.0,1.429059829059829,Outros,159.0,159.0
2021,Brazil,31.0,46.0,-2473.0,-906.0,1.4838709677419355,América Latina,161.0,161.0
2021,Cabo Verde,16.0,124.0,0.0,0.0,7.75,Outros,163.0,163.0
2021,Canadá,1172.0,6157.0,-11.0,373.0,5.253412969283277,América do Norte,165.0,165.0
2021,Catar,1.0,2.0,0.0,0.0,2.0,Outros,166.0,166.0
2021,"Cayman, Ilhas",104.0,356.0,-56.0,-602.0,3.423076923076923,Outros,167.0,167.0
2021,Chile,26.0,6.0,-2068.0,-7980.0,0.23076923076923078,América Latina,168.0,168.0
2021,China,61884.0,264116.0,-43511.0,-140531.0,4.267920625686769,Outros,169.0,169.0
2021,Chipre,1855.0,4530.0,334.0,72.0,2.442048517520216,Outros,170.0,170.0
2021,Colômbia,12160.0,21867.0,3943.0,7799.0,1.7982730263157896,Outros,173.0,173.0
2021,"Coreia, Republica Sul",67.0,100.0,-10.0,-157.0,1.492537313432836,Outros,176.0,176.0
2021,Curaçao,32263.0,58993.0,-8410.0,-7957.0,1.8285032390044322,Outros,181.0,181.0
2021,Dinamarca,87.0,504.0,85.0,498.0,5.793103448275862,Outros,182.0,182.0
2021,Dominica,460.0,634.0,-1025.0,-1589.0,1.3782608695652174,Outros,183.0,183.0
2021,Emirados Arabes Unidos,810.0,10522.0,-3971.0,-74943.0,12.990123456790123,Outros,185.0,185.0
2021,Estados Unidos,111085.0,203554.0,-109288.0,-244339.0,1.8324166179052077,América do Norte,189.0,189.0
2021,Filipinas,2784.0,10368.0,2409.0,9578.0,3.7241379310344827,Outros,191.0,191.0
2021,França,7052.0,23742.0,1358.0,-1266.0,3.3667044809982984,Europa,193.0,193.0
2021,Gana,12578.0,19196.0,-23371.0,-30108.0,1.5261567816823025,Outros,194.0,194.0
2021,Grécia,908.0,3014.0,-12.0,588.0,3.3193832599118944,Outros,197.0,197.0
2021,Guatemala,17347.0,29100.0,16064.0,23750.0,1.6775234910935608,Outros,198.0,198.0
2021,Guiana,2372.0,6525.0,308.0,702.0,2.7508431703204046,Outros,199.0,199.0
2021,Guiana Francesa,90.0,32.0,68.0,14.0,0.35555555555555557,Outros,200.0,200.0
2021,Haiti,670379.0,831181.0,116876.0,90167.0,1.2398672989458202,Outros,203.0,203.0
2021,Hong Kong,12507.0,39390.0,3136.0,1172.0,3.1494363156632286,Outros,205.0,205.0
2021,Hungria,87.0,583.0,0.0,0.0,6.7011494252873565,Outros,206.0,206.0
2021,Ilha de Man,97.0,445.0,-68.0,-196.0,4.587628865979381,Outros,207.0,207.0
2021,India,13.0,86.0,-234.0,-935.0,6.615384615384615,Outros,209.0,209.0
2021,Irã,116.0,287.0,69.0,197.0,2.4741379310344827,Outros,211.0,211.0
2021,Irlanda,36.0,208.0,0.0,0.0,5.777777777777778,Outros,213.0,213.0
2021,Itália,696.0,3715.0,-433.0,-2436.0,5.337643678160919,Europa,214.0,214.0
2021,Japão,39491.0,90275.0,2167.0,8067.0,2.285963890506698,Outros,216.0,216.0
2021,Libéria,7554.0,23060.0,-1591.0,-11755.0,3.0526873179772305,Outros,220.0,220.0
2021,Malta,3441.0,15454.0,314.0,-133.0,4.491136297587911,Outros,225.0,225.0
2021,"Marshall, Ilhas",8644.0,22561.0,1404.0,-4617.0,2.610018509949098,Outros,226.0,226.0
2021,Mauritânia,9.0,85.0,0.0,0.0,9.444444444444445,Outros,228.0,228.0
2021,México,9.0,2.0,3.0,-31.0,0.2222222222222222,Outros,229.0,229.0
2021,Montenegro,14.0,65.0,0.0,0.0,4.642857142857143,Outros,231.0,231.0
2021,Nigéria,68247.0,113172.0,36013.0,62889.0,1.6582706932172844,Outros,234.0,234.0
2021,Noruega,1878.0,8320.0,-833.0,-31996.0,4.43024494142705,Outros,235.0,235.0
2021,Nova Caledônia,7227.0,11924.0,0.0,0.0,1.6499238964992389,Outros,236.0,236.0
2021,Nova Zelândia,657.0,10477.0,594.0,10321.0,15.946727549467276,Outros,237.0,237.0
2021,Países Baixos,3791.0,8484.0,-3243.0,-28756.0,2.23793194407808,Outros,239.0,239.0
2021,Panamá,29520.0,48444.0,18030.0,-948.0,1.6410569105691057,Outros,241.0,241.0
2021,Paraguai,6522527.0,7192362.0,1445857.0,36069.0,1.1026956270169521,América Latina,242.0,242.0
2021,Peru,9720.0,17107.0,0.0,0.0,1.7599794238683129,Outros,243.0,243.0
2021,Polônia,4.0,14.0,0.0,0.0,3.5,Outros,245.0,245.0
2021,Portugal,6358.0,42633.0,4440.0,35020.0,6.705410506448569,Outros,247.0,247.0
2021,Reino Unido,25316.0,122394.0,6481.0,-15760.0,4.834650023700426,Outros,249.0,249.0
2021,Rússia,181931.0,312926.0,115885.0,194308.0,1.7200257240382342,Outros,251.0,251.0
2021,São Vicente e Granadinas,8.0,48.0,-12.0,-3.0,6.0,Outros,254.0,254.0
2021,Serra Leoa,6525.0,12955.0,-1576.0,-2227.0,1.9854406130268198,Outros,256.0,256.0
2021,Singapura,4504.0,14346.0,182.0,-1088.0,3.185168738898757,Outros,257.0,257.0
2021,Suazilândia,10.0,24.0,0.0,0.0,2.4,Outros,258.0,258.0
2021,Suécia,23.0,74.0,18.0,56.0,3.217391304347826,Outros,259.0,259.0
2021,Suíça,627.0,6999.0,-957.0,-13864.0,11.16267942583732,Outros,260.0,260.0
2021,Suriname,900.0,1472.0,-325.0,-1888.0,1.6355555555555557,Outros,261.0,261.0
2021,Tailândia,1334.0,2529.0,902.0,816.0,1.8958020989505247,Outros,262.0,262.0
2021,Taiwan (Formosa),1313.0,8153.0,1288.0,7876.0,6.20944402132521,Outros,263.0,263.0
2021,"Tcheca, República",456.0,5988.0,-849.0,-4009.0,13.131578947368421,Outros,265.0,265.0
2021,Togo,1890.0,2012.0,-15427.0,-23596.0,1.0645502645502645,Outros,266.0,266.0
2021,Turquia,343.0,878.0,-75.0,375.0,2.5597667638483963,Outros,270.0,270.0
2021,Uruguai,136774.0,149842.0,-500343.0,-847525.0,1.095544474827087,Outros,272.0,272.0
2021,Venezuela,26415.0,35944.0,3195.0,3593.0,1.3607420026500094,Outros,274.0,274.0
2021,Total,8058704.0,9851942.0,1032721.0,-1093340.0,1.2225218844121835,Outros,276.0,276.0
2020,África do Sul,4.0,21.0,0.0,0.0,5.25,Outros,278.0,278.0
2020,"Alemanha, República Democrática",6261.0,32605.0,3563.0,25864.0,5.207634563168823,Outros,279.0,279.0
2020,Antígua e Barbuda,624.0,1864.0,-181.0,-404.0,2.9871794871794872,Outros,282.0,282.0
2020,Argentina,1015.0,4176.0,1009.0,4163.0,4.114285714285714,América Latina,285.0,285.0
2020,Austrália,1013.0,3413.0,308.0,-621.0,3.3692003948667324,Outros,287.0,287.0
2020,Bahamas,1212.0,3703.0,129.0,-864.0,3.0552805280528053,Outros,289.0,289.0
2020,Bangladesh,3.0,29.0,1.0,9.0,9.666666666666666,Outros,290.0,290.0
2020,Barbados,143.0,169.0,-73.0,-675.0,1.1818181818181819,Outros,291.0,291.0
2020,Barein,8.0,28.0,-294.0,-866.0,3.5,Outros,292.0,292.0
2020,Bélgica,3166.0,20460.0,2683.0,16711.0,6.462413139608339,Outros,293.0,293.0
2020,Bolívia,9900.0,16025.0,4050.0,7665.0,1.6186868686868687,Outros,297.0,297.0
2020,Bósnia-Herzegovina,45.0,52.0,0.0,0.0,1.1555555555555554,Outros,298.0,298.0
2020,Camarões,0.0,178.0,0.0,0.0,inf,Outros,302.0,302.0
2020,Canadá,1672.0,8431.0,500.0,2274.0,5.042464114832536,América do Norte,303.0,303.0
2020,"Cayman, Ilhas",123.0,339.0,19.0,-17.0,2.7560975609756095,Outros,305.0,305.0
2020,Chile,11.0,13.0,-15.0,7.0,1.1818181818181819,América Latina,306.0,306.0
2020,China,122253.0,363000.0,60369.0,98884.0,2.969252288287404,Outros,307.0,307.0
2020,Chipre,2478.0,6785.0,623.0,2255.0,2.738095238095238,Outros,308.0,308.0
2020,Cingapura,4049.0,9316.0,0.0,0.0,2.3008150160533467,Outros,309.0,309.0
2020,Colômbia,15660.0,23780.0,3500.0,1913.0,1.5185185185185186,Outros,311.0,311.0
2020,Comores,9.0,25.0,0.0,0.0,2.7777777777777777,Outros,312.0,312.0
2020,"Coreia, Republica Sul",103.0,433.0,36.0,333.0,4.203883495145631,Outros,314.0,314.0
2020,Croácia,21.0,123.0,-13.0,-361.0,5.857142857142857,Outros,317.0,317.0
2020,Curaçao,47962.0,65986.0,15699.0,6993.0,1.375797506359201,Outros,319.0,319.0
2020,Dinamarca,659.0,1962.0,572.0,1458.0,2.9772382397572077,Outros,320.0,320.0
2020,Emirados Arabes Unidos,581.0,2279.0,-229.0,-8243.0,3.9225473321858866,Outros,323.0,323.0
2020,Equador,3780.0,3824.0,3645.0,3614.0,1.0116402116402117,Outros,324.0,324.0
2020,Espanha,28.0,126.0,0.0,0.0,4.5,Outros,326.0,326.0
2020,Estados Unidos,300178.0,610793.0,189093.0,407239.0,2.034769370173697,América do Norte,327.0,327.0
2020,Filipinas,719.0,1548.0,-2065.0,-8820.0,2.152990264255911,Outros,329.0,329.0
2020,França,12622.0,57144.0,5570.0,33402.0,4.527333227697671,Europa,331.0,331.0
2020,Gana,18810.0,22027.0,6232.0,2831.0,1.1710260499734184,Outros,332.0,332.0
2020,Gibraltar,769.0,2860.0,0.0,0.0,3.719115734720416,Outros,333.0,333.0
